Price,Close,High,Low,Open,Volume
Ticker,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS
Datetime,,,,,
2025-07-10 03:45:00+00:00,1963.4000244140625,1972.9000244140625,1961.300048828125,1966.300048828125,0
2025-07-10 03:46:00+00:00,1956.4000244140625,1963.0999755859375,1953.300048828125,1963.0999755859375,51022
2025-07-10 03:47:00+00:00,1940.699951171875,1957.0999755859375,1940.4000244140625,1957.0999755859375,68620
2025-07-10 03:48:00+00:00,1941.0,1942.0,1934.300048828125,1939.199951171875,56434
2025-07-10 03:49:00+00:00,1940.4000244140625,1942.699951171875,1936.0,1939.0,40531
2025-07-10 03:50:00+00:00,1945.4000244140625,1946.800048828125,1939.199951171875,1940.199951171875,26929
2025-07-10 03:51:00+00:00,1945.4000244140625,1949.0,1942.300048828125,1946.0,44780
2025-07-10 03:52:00+00:00,1944.699951171875,1945.0,1940.0,1945.0,23912
2025-07-10 03:53:00+00:00,1939.199951171875,1946.0,1938.5,1944.9000244140625,36487
2025-07-10 03:54:00+00:00,1944.199951171875,1945.0,1936.0,1939.5,20528
2025-07-10 03:55:00+00:00,1940.0,1944.0,1939.5999755859375,1944.0,13922
2025-07-10 03:56:00+00:00,1940.4000244140625,1940.699951171875,1938.0999755859375,1940.0,14720
2025-07-10 03:57:00+00:00,1944.5,1944.5,1939.9000244140625,1940.0999755859375,13535
2025-07-10 03:58:00+00:00,1945.0,1946.5,1943.300048828125,1944.4000244140625,11397
2025-07-10 03:59:00+00:00,1948.9000244140625,1949.0,1943.300048828125,1944.699951171875,12958
2025-07-10 04:00:00+00:00,1945.5,1948.9000244140625,1944.699951171875,1948.0999755859375,14996
2025-07-10 04:01:00+00:00,1947.5999755859375,1949.9000244140625,1944.0999755859375,1945.699951171875,19840
2025-07-10 04:02:00+00:00,1947.5,1948.0,1947.0,1947.699951171875,3624
2025-07-10 04:03:00+00:00,1946.800048828125,1947.699951171875,1946.0,1947.699951171875,6795
